X,Y,Datetime,Lat,Lon,FRP(mw),Firesize(km^2),temp(k),Category,Description
-1459069.351053952705115,-3737686.539381201379001,2016-01-02 06:00:00,-33.4302,116.1692,-9999,-9999,-9999,15, Low Possibility
-1493296.430581914260983,-3678741.18167072115466,2016-01-02 06:10:00,-32.8683,115.882,-9999,-9999,-9999,15, Low Possibility
-1489018.761314935050905,-3680654.597188755404204,2016-01-02 06:10:00,-32.8901,115.9251,-9999,-9999,-9999,15, Low Possibility
-1493108.487504864577204,-3692243.000953264534473,2016-01-02 06:10:00,-32.9884,115.8657,-9999,-9999,-9999,15, Low Possibility
-1493296.430581914260983,-3678741.18167072115466,2016-01-02 06:20:00,-32.8683,115.882,-9999,-9999,-9999,15, Low Possibility
-1489018.761314935050905,-3680654.597188755404204,2016-01-02 06:20:00,-32.8901,115.9251,-9999,-9999,-9999,15, Low Possibility
-1444382.998547747964039,-3745943.241654593963176,2016-01-02 06:20:00,-33.5198,116.316,47.6,0.206673,400.6,10, Processed
-1493296.430581914260983,-3678741.18167072115466,2016-01-02 06:30:00,-32.8683,115.882,-9999,-9999,-9999,15, Low Possibility
-1489018.761314935050905,-3680654.597188755404204,2016-01-02 06:30:00,-32.8901,115.9251,-9999,-9999,-9999,15, Low Possibility
-1453040.248042035847902,-3728410.584204610437155,2016-01-02 06:50:00,-33.3544,116.2463,-9999,-9999,-9999,15, Low Possibility
-1456161.916367722209543,-3645004.175524409394711,2016-01-02 07:00:00,-32.61,116.3232,-9999,-9999,-9999,15, Low Possibility
-1444382.998547747964039,-3745943.241654593963176,2016-01-02 07:00:00,-33.5198,116.316,-9999,-9999,-9999,15, Low Possibility
-1456161.916367722209543,-3645004.175524409394711,2016-01-02 07:10:00,-32.61,116.3232,-9999,-9999,-9999,15, Low Possibility
-1462443.774020483251661,-3730119.914356864523143,2016-01-02 07:20:00,-33.3592,116.1431,-9999,-9999,-9999,15, Low Possibility
-1450872.764700673287734,-3758047.134218354243785,2016-01-02 07:30:00,-33.6203,116.2301,-9999,-9999,-9999,15, Low Possibility
