X,Y,Datetime,Latitude,Longitude,FRP(mw),Firesize(km2),temp(k),Category,Description
656804.505217845086008,-3192845.216543595772237,2015-12-18 06:40:00,-29.2147,138.8381,43.79,0.109054,426,10, Processed
561592.23922144563403,-3191101.195037376601249,2015-12-18 06:40:00,-29.2413,137.8475,-9999,-9999,-9999,15, Low Possibility
602052.57926749822218,-3192796.727745741140097,2015-12-18 06:40:00,-29.2393,138.269,-9999,-9999,-9999,12, Cloudy
650385.974794331123121,-3197557.02673430647701,2015-12-18 06:40:00,-29.2597,138.774,34.65,0.035415,472.8,10, Processed
656449.371981827076524,-3197857.86982915783301,2015-12-18 06:40:00,-29.2595,138.8372,-9999,-9999,-9999,15, Low Possibility
696674.403123605879955,-3202449.127809291239828,2015-12-18 06:40:00,-29.2806,139.258,-9999,-9999,-9999,15, Low Possibility
570790.074918563826941,-3204033.045098528265953,2015-12-18 06:40:00,-29.3527,137.9494,36.09,0.005025,632,10, Processed
590844.968115982483141,-3207386.841731580439955,2015-12-18 06:40:00,-29.3741,138.1598,47.11,0.094906,436.2,10, Processed
661257.40054421685636,-3215693.163156398572028,2015-12-18 06:40:00,-29.416,138.8972,44.98,0.099902,431.5,10, Processed
565826.950356217217632,-3216410.039119225461036,2015-12-18 06:40:00,-29.465,137.9037,39.57,0.029547,492.3,10, Processed
626165.873244954505935,-3224065.526335979346186,2015-12-18 06:40:00,-29.507,138.5363,38.57,0.048214,461.1,10, Processed
625979.423893772996962,-3226582.39859656104818,2015-12-18 06:40:00,-29.5295,138.5357,34.31,0.009648,564.6,10, Processed
598580.302734999451786,-3240478.734631406608969,2015-12-18 06:40:00,-29.6655,138.2572,-9999,-9999,-9999,12, Cloudy
600425.997359467437491,-3243084.062009626533836,2015-12-18 06:40:00,-29.6879,138.2778,-9999,-9999,-9999,15, Low Possibility
602452.535544364480302,-3243172.666603845544159,2015-12-18 06:40:00,-29.6878,138.299,-9999,-9999,-9999,15, Low Possibility
