X,Y,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,id,satellite,satellite_,satellit_1,sensor,orbit,start_dt,stop_dt,filename,process_dt,process_al,process__1,load_dt,latitude,longitude,temp_kelvi,datetime,power,confidence,age_hours,australian,hold_dt,hold_dt_2
-1466766.01754623,-3683171.70405379,,,,,,,-1,0,-1,,,10720042,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21819,2016-01-13T06:06:35Z,2016-01-13T06:17:45Z,Npp20160113T060635Z20160113T061745Zhotspots.txt,,VIIRS (AER),6,,-32.9373,116.1595,,2016-01-13T06:12:10Z,,100,6997,WA,2016-01-13,2016-01-13T18:06:35Z
-1465299.17609403,-3682324.61775343,,,,,,,-1,0,-1,,,10720043,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21819,2016-01-13T06:06:35Z,2016-01-13T06:17:45Z,Npp20160113T060635Z20160113T061745Zhotspots.txt,,VIIRS (AER),6,,-32.9314,116.1763,,2016-01-13T06:12:10Z,,100,6997,WA,2016-01-13,2016-01-13T18:06:35Z
-1465993.76092084,-3682914.03538849,,,,,,,-1,0,-1,,,10720041,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21819,2016-01-13T06:06:35Z,2016-01-13T06:17:45Z,Npp20160113T060635Z20160113T061745Zhotspots.txt,,VIIRS (AER),6,,-32.9358,116.1681,,2016-01-13T06:12:10Z,,100,6997,WA,2016-01-13,2016-01-13T18:06:35Z
-1465232.83594382,-3682662.1094304,,,,,,,-1,0,-1,,,10720040,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21819,2016-01-13T06:06:35Z,2016-01-13T06:17:45Z,Npp20160113T060635Z20160113T061745Zhotspots.txt,,VIIRS (AER),6,,-32.9344,116.1766,,2016-01-13T06:12:10Z,,100,6997,WA,2016-01-13,2016-01-13T18:06:35Z
-1466831.54974388,-3682829.05013215,,,,,,,-1,0,-1,,,10720045,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21819,2016-01-13T06:06:35Z,2016-01-13T06:17:45Z,Npp20160113T060635Z20160113T061745Zhotspots.txt,,VIIRS (AER),6,,-32.9342,116.1593,,2016-01-13T06:12:10Z,,42,6997,WA,2016-01-13,2016-01-13T18:06:35Z
-1466300.96718795,-3681845.57255113,,,,,,,-1,0,-1,,,10720047,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21819,2016-01-13T06:06:35Z,2016-01-13T06:17:45Z,Npp20160113T060635Z20160113T061745Zhotspots.txt,,VIIRS (AER),6,,-32.9260,116.1662,,2016-01-13T06:12:10Z,,100,6997,WA,2016-01-13,2016-01-13T18:06:35Z
-1502091.18296222,-3685614.85169291,,,,,,,-1,0,-1,,,10720052,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21819,2016-01-13T06:06:35Z,2016-01-13T06:17:45Z,Npp20160113T060635Z20160113T061745Zhotspots.txt,,VIIRS (AER),6,,-32.9194,115.7787,,2016-01-13T06:12:10Z,,99,6997,WA,2016-01-13,2016-01-13T18:06:35Z
-1499353.75843995,-3686316.99432102,,,,,,,-1,0,-1,,,10720051,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21819,2016-01-13T06:06:35Z,2016-01-13T06:17:45Z,Npp20160113T060635Z20160113T061745Zhotspots.txt,,VIIRS (AER),6,,-32.9287,115.8070,,2016-01-13T06:12:10Z,,77,6997,WA,2016-01-13,2016-01-13T18:06:35Z
-1465771.86773045,-3680861.40214212,,,,,,,-1,0,-1,,,10720048,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21819,2016-01-13T06:06:35Z,2016-01-13T06:17:45Z,Npp20160113T060635Z20160113T061745Zhotspots.txt,,VIIRS (AER),6,,-32.9178,116.1732,,2016-01-13T06:12:10Z,,93,6997,WA,2016-01-13,2016-01-13T18:06:35Z
-1498362.68361497,-3686793.51485349,,,,,,,-1,0,-1,,,10720050,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21819,2016-01-13T06:06:35Z,2016-01-13T06:17:45Z,Npp20160113T060635Z20160113T061745Zhotspots.txt,,VIIRS (AER),6,,-32.9341,115.8169,,2016-01-13T06:12:10Z,,100,6997,WA,2016-01-13,2016-01-13T18:06:35Z
